"gid","iso_a2","code","level_1"
502122,"US","02122","Massachusetts"
502124,"US","02124","Massachusetts"
502125,"US","02125","Massachusetts"
502126,"US","02126","Massachusetts"
502127,"US","02127","Massachusetts"
502128,"US","02128","Massachusetts"
502129,"US","02129","Massachusetts"
502130,"US","02130","Massachusetts"
502131,"US","02131","Massachusetts"
502132,"US","02132","Massachusetts"
502134,"US","02134","Massachusetts"
502135,"US","02135","Massachusetts"
502136,"US","02136","Massachusetts"
502138,"US","02138","Massachusetts"
502139,"US","02139","Massachusetts"
502140,"US","02140","Massachusetts"
502141,"US","02141","Massachusetts"
502142,"US","02142","Massachusetts"
502143,"US","02143","Massachusetts"
502144,"US","02144","Massachusetts"
502145,"US","02145","Massachusetts"
502148,"US","02148","Massachusetts"
502149,"US","02149","Massachusetts"
502150,"US","02150","Massachusetts"
502151,"US","02151","Massachusetts"
502152,"US","02152","Massachusetts"
502155,"US","02155","Massachusetts"
502163,"US","02163","Massachusetts"
502169,"US","02169","Massachusetts"
502170,"US","02170","Massachusetts"
502171,"US","02171","Massachusetts"
502176,"US","02176","Massachusetts"
502180,"US","02180","Massachusetts"
502184,"US","02184","Massachusetts"
502186,"US","02186","Massachusetts"
502188,"US","02188","Massachusetts"
502189,"US","02189","Massachusetts"
502190,"US","02190","Massachusetts"
502191,"US","02191","Massachusetts"
502199,"US","02199","Massachusetts"
502203,"US","02203","Massachusetts"
502210,"US","02210","Massachusetts"
502215,"US","02215","Massachusetts"
502301,"US","02301","Massachusetts"
502302,"US","02302","Massachusetts"
502322,"US","02322","Massachusetts"
502324,"US","02324","Massachusetts"
502330,"US","02330","Massachusetts"
502332,"US","02332","Massachusetts"
502333,"US","02333","Massachusetts"
502338,"US","02338","Massachusetts"
502339,"US","02339","Massachusetts"
502341,"US","02341","Massachusetts"
502343,"US","02343","Massachusetts"
502346,"US","02346","Massachusetts"
502347,"US","02347","Massachusetts"
502351,"US","02351","Massachusetts"
502356,"US","02356","Massachusetts"
502357,"US","02357","Massachusetts"
502359,"US","02359","Massachusetts"
502360,"US","02360","Massachusetts"
502364,"US","02364","Massachusetts"
502366,"US","02366","Massachusetts"
502367,"US","02367","Massachusetts"
502368,"US","02368","Massachusetts"
502370,"US","02370","Massachusetts"
502375,"US","02375","Massachusetts"
502379,"US","02379","Massachusetts"
502382,"US","02382","Massachusetts"
502420,"US","02420","Massachusetts"
502421,"US","02421","Massachusetts"
502445,"US","02445","Massachusetts"
502446,"US","02446","Massachusetts"
502451,"US","02451","Massachusetts"
502452,"US","02452","Massachusetts"
502453,"US","02453","Massachusetts"
502457,"US","02457","Massachusetts"
502458,"US","02458","Massachusetts"
502459,"US","02459","Massachusetts"
502460,"US","02460","Massachusetts"
502461,"US","02461","Massachusetts"
502462,"US","02462","Massachusetts"
502464,"US","02464","Massachusetts"
502465,"US","02465","Massachusetts"
502466,"US","02466","Massachusetts"
502467,"US","02467","Massachusetts"
502468,"US","02468","Massachusetts"
502472,"US","02472","Massachusetts"
502474,"US","02474","Massachusetts"
502476,"US","02476","Massachusetts"
502478,"US","02478","Massachusetts"
502481,"US","02481","Massachusetts"
502482,"US","02482","Massachusetts"
502492,"US","02492","Massachusetts"
502493,"US","02493","Massachusetts"
502494,"US","02494","Massachusetts"
502532,"US","02532","Massachusetts"
502534,"US","02534","Massachusetts"
502535,"US","02535","Massachusetts"
502536,"US","02536","Massachusetts"
502537,"US","02537","Massachusetts"
502538,"US","02538","Massachusetts"
502539,"US","02539","Massachusetts"
502540,"US","02540","Massachusetts"
502542,"US","02542","Massachusetts"
502543,"US","02543","Massachusetts"
502553,"US","02553","Massachusetts"
502554,"US","02554","Massachusetts"
502556,"US","02556","Massachusetts"
502557,"US","02557","Massachusetts"
502558,"US","02558","Massachusetts"
502559,"US","02559","Massachusetts"
502561,"US","02561","Massachusetts"
502562,"US","02562","Massachusetts"
502563,"US","02563","Massachusetts"
502564,"US","02564","Massachusetts"
502568,"US","02568","Massachusetts"
502571,"US","02571","Massachusetts"
502575,"US","02575","Massachusetts"
502576,"US","02576","Massachusetts"
502584,"US","02584","Massachusetts"
502601,"US","02601","Massachusetts"
502630,"US","02630","Massachusetts"
502631,"US","02631","Massachusetts"
502632,"US","02632","Massachusetts"
502633,"US","02633","Massachusetts"
502635,"US","02635","Massachusetts"
502637,"US","02637","Massachusetts"
502638,"US","02638","Massachusetts"
502639,"US","02639","Massachusetts"
502641,"US","02641","Massachusetts"
502642,"US","02642","Massachusetts"
502643,"US","02643","Massachusetts"
502644,"US","02644","Massachusetts"
502645,"US","02645","Massachusetts"
502646,"US","02646","Massachusetts"
502647,"US","02647","Massachusetts"
502648,"US","02648","Massachusetts"
502649,"US","02649","Massachusetts"
502650,"US","02650","Massachusetts"
502651,"US","02651","Massachusetts"
502652,"US","02652","Massachusetts"
502653,"US","02653","Massachusetts"
502655,"US","02655","Massachusetts"
502657,"US","02657","Massachusetts"
502659,"US","02659","Massachusetts"
502660,"US","02660","Massachusetts"
502663,"US","02663","Massachusetts"
502664,"US","02664","Massachusetts"
502666,"US","02666","Massachusetts"
502667,"US","02667","Massachusetts"
502668,"US","02668","Massachusetts"
502669,"US","02669","Massachusetts"
502670,"US","02670","Massachusetts"
502671,"US","02671","Massachusetts"
502672,"US","02672","Massachusetts"
502673,"US","02673","Massachusetts"
502675,"US","02675","Massachusetts"
502702,"US","02702","Massachusetts"
502703,"US","02703","Massachusetts"
502715,"US","02715","Massachusetts"
502717,"US","02717","Massachusetts"
502718,"US","02718","Massachusetts"
502719,"US","02719","Massachusetts"
502720,"US","02720","Massachusetts"
502721,"US","02721","Massachusetts"
502723,"US","02723","Massachusetts"
502724,"US","02724","Massachusetts"
502725,"US","02725","Massachusetts"
502726,"US","02726","Massachusetts"
502738,"US","02738","Massachusetts"
502739,"US","02739","Massachusetts"
502740,"US","02740","Massachusetts"
502743,"US","02743","Massachusetts"
502744,"US","02744","Massachusetts"
502745,"US","02745","Massachusetts"
502746,"US","02746","Massachusetts"
502747,"US","02747","Massachusetts"
502748,"US","02748","Massachusetts"
502760,"US","02760","Massachusetts"
502762,"US","02762","Massachusetts"
502763,"US","02763","Massachusetts"
502764,"US","02764","Massachusetts"
502766,"US","02766","Massachusetts"
502767,"US","02767","Massachusetts"
502769,"US","02769","Massachusetts"
502770,"US","02770","Massachusetts"
502771,"US","02771","Massachusetts"
502777,"US","02777","Massachusetts"
502779,"US","02779","Massachusetts"
502780,"US","02780","Massachusetts"
502790,"US","02790","Massachusetts"
502791,"US","02791","Massachusetts"
502802,"US","02802","Rhode Island"
502804,"US","02804","Rhode Island"
502806,"US","02806","Rhode Island"
502808,"US","02808","Rhode Island"
502809,"US","02809","Rhode Island"
502812,"US","02812","Rhode Island"
502813,"US","02813","Rhode Island"
502814,"US","02814","Rhode Island"
502815,"US","02815","Rhode Island"
502816,"US","02816","Rhode Island"
502817,"US","02817","Rhode Island"
502818,"US","02818","Rhode Island"
502822,"US","02822","Rhode Island"
502825,"US","02825","Rhode Island"
502826,"US","02826","Rhode Island"
502827,"US","02827","Rhode Island"
502828,"US","02828","Rhode Island"
502830,"US","02830","Rhode Island"
502831,"US","02831","Rhode Island"
502832,"US","02832","Rhode Island"
502833,"US","02833","Rhode Island"
502836,"US","02836","Rhode Island"
502837,"US","02837","Rhode Island"
502838,"US","02838","Rhode Island"
502839,"US","02839","Rhode Island"
502840,"US","02840","Rhode Island"
502841,"US","02841","Rhode Island"
502842,"US","02842","Rhode Island"
502852,"US","02852","Rhode Island"
502857,"US","02857","Rhode Island"
502858,"US","02858","Rhode Island"
502859,"US","02859","Rhode Island"
502860,"US","02860","Rhode Island"
502861,"US","02861","Rhode Island"
502863,"US","02863","Rhode Island"
502864,"US","02864","Rhode Island"
502865,"US","02865","Rhode Island"
502871,"US","02871","Rhode Island"
502873,"US","02873","Rhode Island"
502874,"US","02874","Rhode Island"
502875,"US","02875","Rhode Island"
502876,"US","02876","Rhode Island"
502878,"US","02878","Rhode Island"
502879,"US","02879","Rhode Island"
502881,"US","02881","Rhode Island"
502882,"US","02882","Rhode Island"
502885,"US","02885","Rhode Island"
502886,"US","02886","Rhode Island"
502888,"US","02888","Rhode Island"
502889,"US","02889","Rhode Island"
502891,"US","02891","Rhode Island"
502892,"US","02892","Rhode Island"
502893,"US","02893","Rhode Island"
502894,"US","02894","Rhode Island"
502895,"US","02895","Rhode Island"
502896,"US","02896","Rhode Island"
502898,"US","02898","Rhode Island"
502903,"US","02903","Rhode Island"
502904,"US","02904","Rhode Island"
502905,"US","02905","Rhode Island"
502906,"US","02906","Rhode Island"
502907,"US","02907","Rhode Island"
502908,"US","02908","Rhode Island"
502909,"US","02909","Rhode Island"
502910,"US","02910","Rhode Island"
502911,"US","02911","Rhode Island"
502912,"US","02912","Rhode Island"
502914,"US","02914","Rhode Island"
502915,"US","02915","Rhode Island"
502916,"US","02916","Rhode Island"
502917,"US","02917","Rhode Island"
502919,"US","02919","Rhode Island"
502920,"US","02920","Rhode Island"
502921,"US","02921","Rhode Island"
503031,"US","03031","New Hampshire"
503032,"US","03032","New Hampshire"
503033,"US","03033","New Hampshire"
503034,"US","03034","New Hampshire"
503036,"US","03036","New Hampshire"
503037,"US","03037","New Hampshire"
503038,"US","03038","New Hampshire"
503042,"US","03042","New Hampshire"
503043,"US","03043","New Hampshire"
503044,"US","03044","New Hampshire"
503045,"US","03045","New Hampshire"
503046,"US","03046","New Hampshire"
503047,"US","03047","New Hampshire"
503048,"US","03048","New Hampshire"
503049,"US","03049","New Hampshire"
503051,"US","03051","New Hampshire"
503052,"US","03052","New Hampshire"
503053,"US","03053","New Hampshire"
503054,"US","03054","New Hampshire"
503055,"US","03055","New Hampshire"
503057,"US","03057","New Hampshire"
503060,"US","03060","New Hampshire"
503062,"US","03062","New Hampshire"
503063,"US","03063","New Hampshire"
503064,"US","03064","New Hampshire"
503070,"US","03070","New Hampshire"
503071,"US","03071","New Hampshire"
503076,"US","03076","New Hampshire"
503077,"US","03077","New Hampshire"
503079,"US","03079","New Hampshire"
503082,"US","03082","New Hampshire"
503084,"US","03084","New Hampshire"
503086,"US","03086","New Hampshire"
503087,"US","03087","New Hampshire"
503101,"US","03101","New Hampshire"
503102,"US","03102","New Hampshire"
503103,"US","03103","New Hampshire"
503104,"US","03104","New Hampshire"
503106,"US","03106","New Hampshire"
503109,"US","03109","New Hampshire"
503110,"US","03110","New Hampshire"
503215,"US","03215","New Hampshire"
503216,"US","03216","New Hampshire"
503217,"US","03217","New Hampshire"
503218,"US","03218","New Hampshire"
503220,"US","03220","New Hampshire"
503221,"US","03221","New Hampshire"
503222,"US","03222","New Hampshire"
503223,"US","03223","New Hampshire"
503224,"US","03224","New Hampshire"
503225,"US","03225","New Hampshire"
503226,"US","03226","New Hampshire"
503227,"US","03227","New Hampshire"
503229,"US","03229","New Hampshire"
503230,"US","03230","New Hampshire"
503231,"US","03231","New Hampshire"
503233,"US","03233","New Hampshire"
